Feature,SHAP_top5_freq,LIME_top5_freq,Model
pslist.nproc,0.0,0.0,RF
pslist.nppid,0.0,0.0,RF
pslist.avg_threads,0.001,0.0,RF
pslist.nprocs64bit,0.0,0.0,RF
pslist.avg_handlers,0.293,0.314,RF
dlllist.ndlls,0.0,0.0,RF
dlllist.avg_dlls_per_proc,0.603,0.0,RF
handles.nhandles,0.0,0.0,RF
handles.avg_handles_per_proc,0.596,0.996,RF
handles.nport,0.0,0.0,RF
handles.nfile,0.004,0.0,RF
handles.nevent,0.048,0.21,RF
handles.ndesktop,0.0,0.0,RF
handles.nkey,0.0,0.0,RF
handles.nthread,0.0,0.0,RF
handles.ndirectory,0.0,0.0,RF
handles.nsemaphore,0.0,0.0,RF
handles.ntimer,0.0,0.0,RF
handles.nsection,0.043,0.0,RF
handles.nmutant,0.0,0.0,RF
ldrmodules.not_in_load,0.0,0.0,RF
ldrmodules.not_in_init,0.0,0.0,RF
ldrmodules.not_in_mem,0.0,0.0,RF
ldrmodules.not_in_load_avg,0.001,0.0,RF
ldrmodules.not_in_init_avg,0.0,0.0,RF
ldrmodules.not_in_mem_avg,0.001,0.0,RF
malfind.ninjections,0.0,0.0,RF
malfind.commitCharge,0.049,0.174,RF
malfind.protection,0.0,0.0,RF
malfind.uniqueInjections,0.0,0.0,RF
psxview.not_in_pslist,0.0,0.0,RF
psxview.not_in_eprocess_pool,0.0,0.131,RF
psxview.not_in_ethread_pool,0.0,0.0,RF
psxview.not_in_pspcid_list,0.0,0.0,RF
psxview.not_in_csrss_handles,0.0,0.0,RF
psxview.not_in_session,0.0,0.0,RF
psxview.not_in_deskthrd,0.001,0.0,RF
psxview.not_in_pslist_false_avg,0.0,0.0,RF
psxview.not_in_eprocess_pool_false_avg,0.0,0.057,RF
psxview.not_in_ethread_pool_false_avg,0.0,0.0,RF
psxview.not_in_pspcid_list_false_avg,0.0,0.0,RF
psxview.not_in_csrss_handles_false_avg,0.0,0.0,RF
psxview.not_in_session_false_avg,0.0,0.0,RF
psxview.not_in_deskthrd_false_avg,0.0,0.0,RF
modules.nmodules,0.0,0.0,RF
svcscan.nservices,0.999,1.0,RF
svcscan.kernel_drivers,0.997,0.0,RF
svcscan.fs_drivers,0.0,0.0,RF
svcscan.process_services,0.364,1.0,RF
svcscan.shared_process_services,0.999,1.0,RF
svcscan.interactive_process_services,0.0,0.0,RF
svcscan.nactive,0.0,0.0,RF
callbacks.ncallbacks,0.001,0.001,RF
callbacks.nanonymous,0.0,0.117,RF
callbacks.ngeneric,0.0,0.0,RF
pslist.nproc,0.0,0.0,XGB
pslist.nppid,0.0,0.0,XGB
pslist.avg_threads,0.834,0.192,XGB
pslist.nprocs64bit,0.0,0.0,XGB
pslist.avg_handlers,0.0,0.0,XGB
dlllist.ndlls,0.0,0.0,XGB
dlllist.avg_dlls_per_proc,0.0,0.0,XGB
handles.nhandles,0.0,0.0,XGB
handles.avg_handles_per_proc,0.983,1.0,XGB
handles.nport,0.0,0.0,XGB
handles.nfile,0.0,0.0,XGB
handles.nevent,0.959,0.109,XGB
handles.ndesktop,0.0,0.0,XGB
handles.nkey,0.028,0.0,XGB
handles.nthread,0.216,0.159,XGB
handles.ndirectory,0.0,0.0,XGB
handles.nsemaphore,0.0,0.001,XGB
handles.ntimer,0.0,0.001,XGB
handles.nsection,0.0,0.0,XGB
handles.nmutant,0.002,0.0,XGB
ldrmodules.not_in_load,0.025,0.0,XGB
ldrmodules.not_in_init,0.0,0.0,XGB
ldrmodules.not_in_mem,0.0,0.0,XGB
ldrmodules.not_in_load_avg,0.004,0.262,XGB
ldrmodules.not_in_init_avg,0.402,0.003,XGB
ldrmodules.not_in_mem_avg,0.008,0.0,XGB
malfind.ninjections,0.0,0.0,XGB
malfind.commitCharge,0.099,0.177,XGB
malfind.protection,0.0,0.0,XGB
malfind.uniqueInjections,0.0,0.0,XGB
psxview.not_in_pslist,0.0,0.0,XGB
psxview.not_in_eprocess_pool,0.0,0.395,XGB
psxview.not_in_ethread_pool,0.0,0.0,XGB
psxview.not_in_pspcid_list,0.0,0.0,XGB
psxview.not_in_csrss_handles,0.0,0.0,XGB
psxview.not_in_session,0.0,0.001,XGB
psxview.not_in_deskthrd,0.0,0.0,XGB
psxview.not_in_pslist_false_avg,0.0,0.001,XGB
psxview.not_in_eprocess_pool_false_avg,0.0,0.311,XGB
psxview.not_in_ethread_pool_false_avg,0.0,0.001,XGB
psxview.not_in_pspcid_list_false_avg,0.0,0.0,XGB
psxview.not_in_csrss_handles_false_avg,0.0,0.0,XGB
psxview.not_in_session_false_avg,0.031,0.005,XGB
psxview.not_in_deskthrd_false_avg,0.0,0.0,XGB
modules.nmodules,0.0,0.0,XGB
svcscan.nservices,1.0,1.0,XGB
svcscan.kernel_drivers,0.0,0.0,XGB
svcscan.fs_drivers,0.0,0.0,XGB
svcscan.process_services,0.396,1.0,XGB
svcscan.shared_process_services,0.0,0.0,XGB
svcscan.interactive_process_services,0.0,0.0,XGB
svcscan.nactive,0.0,0.0,XGB
callbacks.ncallbacks,0.013,0.0,XGB
callbacks.nanonymous,0.0,0.382,XGB
callbacks.ngeneric,0.0,0.0,XGB
